pair;phd_candidate;supervisor;country;institute;subfield;pmid;owner;position_author_supervisor;concern_methods_tools_devlpmnt_or_review;thesis_year;thesis_title;thesis_link;doi;oa_status;issn;journal;publisher;publication_date_unpaywall;is_open_data;open_data_category;is_open_code;open_data_statements;open_code_statements;downloaded;manual_check_code_th;manual_check_code_mh;identifier;assessment;trn;has_trn_secondary_id;has_trn_abstract;has_trn_ft
29;Bharath Sampadi;SilvÃƒÂ¨re van der Maarel;Netherlands;Leiden UMC;toxicology;29162933;supervisor;last;no;2021;Dose-dependent and compound-specific phospho-signalling responses after (geno)toxic treatment;https://hdl.handle.net/1887/3240142;10.1038/s41431-017-0015-0;hybrid;1018-4813,1476-5438;European Journal of Human Genetics;Springer Science and Business Media LLC;21.11.2017;TRUE;field-specific repository;FALSE;the identiï¬Åed 4a161l dux4 transcripts have been submitted to genbank under accession numbers mf422078 (dux4la) and mf422079 (dux4lb).;NA;TRUE;NA;NA;"DUX4 transcript accession numbers MF422078 (DUX4La) and MF422079 (DUX4Lb) and for D4Z4 genomic accession numbers KQ983258.1, MF693913, MF503833, MF503834, MF503835, MF503836, MF741677, MF741678 (4A161L); MF776830, MF776831, MF776832, MF776833, MF776834, MF776835 (4A161S); MF776826, MF776827, MF776828, MF776829 (4A166) and MF776824, MF776825 (4A166H1).";open_data;NA;NA;NA;NA
29;Bharath Sampadi;SilvÃƒÂ¨re van der Maarel;Netherlands;Leiden UMC;toxicology;32189037;candidate;na;no;2021;Dose-dependent and compound-specific phospho-signalling responses after (geno)toxic treatment;https://hdl.handle.net/1887/3240142;10.1007/s00204-020-02712-7;hybrid;0340-5761,1432-0738;Archives of Toxicology;Springer Science and Business Media LLC;18.03.2020;TRUE;field-specific repository;FALSE;accession numbers: all ms raw data and search files are uploaded to the pride repository with the accession number pxd012559.;NA;TRUE;NA;NA;https://www.ebi.ac.uk/pride/archive/projects/PXD012559;open_data;NA;NA;NA;NA
31;Marit Navis;R.M. van Elburg;Netherlands;Amsterdam UMC;epidemiology;30530633;candidate;na;no;2021;From in vitro to in vivo models, and the impact of early life nutrition;https://hdl.handle.net/11245.1/856901ab-6b10-4e58-b5f6-4b222d3bb832;10.15252/embr.201846221;hybrid;1469-221X,1469-3178;EMBO reports;EMBO;10.12.2018;TRUE;field-specific repository, data availability statement;FALSE;data availability the microarray data from this publication have been deposited to the geo database (https://www.ncbi.nlm.nih.gov/geo/) and assigned the identifier gse118982.      data availability the microarray data from this publication have been deposited to the geo database (https://www.ncbi.nlm.nih.gov/geo/) and assigned the identifier gse118982;NA;TRUE;NA;NA;https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118982;open_data;NA;NA;NA;NA
28;EsmÃƒÂ© van der Gracht;Frits Koning;Netherlands;Leiden UMC;molecular_biology;30664737;supervisor;last;no;2021;Dissecting the heterogeneity of circulating and tissue-resident memory T cells;https://hdl.handle.net/1887/3245200;10.1038/s41590-018-0294-9;closed_;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;NA;NA;https://flowrepository.org/id/FR-FCM-ZYRD AND https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122846;open_data;NA;NA;NA;NA
7;Michael Lacy;JÃƒÂ_rgen Bernhagen;Germany;Universitat Heidelberg;vascular_biology;33239628;supervisor;last;no;2021;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1038/s41467-020-19764-z;gold;2041-1723;Nature Communications;Springer Science and Business Media LLC;25.11.2020;TRUE;field-specific repository;FALSE;the crystal structures of human cxcr4 as used for ectodomain peptide selection in this study are available as publicly available datasets under the accession codes 3odu 3oe0 3oe6 3oe8 3oe9 4rws.;NA;TRUE;NA;NA;https://www.wwpdb.org/pdb?id=pdb_00003odu;open_data;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;32535118;supervisor;last;no;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1016/j.jchf.2020.02.008;bronze;2213-1779;JACC: Heart Failure;Elsevier BV;01.08.2020;TRUE;supplement;FALSE;all data  rhf stage are presented in table 1;NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
18;Iris Kramer;Marjanka Schmidt;Netherlands;Leiden UMC;cancer;28076434;supervisor;last;no;2021;Double trouble: exploring risk factors to better predict contralateral breast cancer;https://hdl.handle.net/1887/3247221;10.1371/journal.pone.0170084;gold;1932-6203;PLOS ONE;Public Library of Science (PLoS);11.01.2017;TRUE;data availability statement;FALSE;data availability statement: the raw data cannot be shared due to restrictions as described in danish law (persondataloven: https://www. retsinformation.dk/forms/r0710;NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
18;Iris Kramer;Marjanka Schmidt;Netherlands;Leiden UMC;cancer;29486734;supervisor;last;no;2021;Double trouble: exploring risk factors to better predict contralateral breast cancer;https://hdl.handle.net/1887/3247221;10.1186/s12885-018-4072-8;gold;1471-2407;BMC Cancer;Springer Science and Business Media LLC;27.02.2018;TRUE;data availability statement;FALSE;availability of data and materials the datasets supporting the conclusions of this article cannot be shared due to restrictions as described in danish law (persondataloven: https:// www.retsinformation.dk/forms/r0710;NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
24;Edouard L. Fu;Friedo W. Dekker;Netherlands;Leiden UMC;cardiology;34518257;supervisor;last;no;2021;Optimal cardiovascular treatment strategies in kidney disease: causal inference from observational data;https://hdl.handle.net/1887/3221348;10.1136/bmjopen-2020-048550;gold;2044-6055,2044-6055;BMJ Open;BMJ;01.09.2021;TRUE;supplement;FALSE;all data using ibm spss statistics v.23. table 1;NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
24;Edouard L. Fu;Friedo W. Dekker;Netherlands;Leiden UMC;cardiology;30006870;supervisor;last;no;2021;Optimal cardiovascular treatment strategies in kidney disease: causal inference from observational data;https://hdl.handle.net/1887/3221348;10.1007/s40037-018-0440-y;gold;2212-2761,2212-277X;Perspectives on Medical Education;Springer Science and Business Media LLC;13.07.2018;TRUE;supplement;FALSE;all data using ibm spss statistics version 23 for windows. table 2;NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
25;Loes Soetens;Jacco Wallinga;Netherlands;Leiden UMC;epidemiology;30914076;candidate;na;yes;2021;Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach;https://hdl.handle.net/1887/3247049;10.2807/1560-7917.es.2019.24.12.1800331;gold;1560-7917;Eurosurveillance;European Centre for Disease Control and Prevention (ECDC);21.03.2019;NA;NA;NA;NA;NA;FALSE;NA;NA;AND https://www.ncbi.nlm.nih.gov/nuccore/601125259 AND https://www.ncbi.nlm.nih.gov/nuccore/601125275 AND;no_open_data;NA;NA;NA;NA
22;Lisa TCM van Weert;Onno C. Meijer;Netherlands;Leiden UMC;neuroscience;30321321;supervisor;last;no;2021;Genomic glucocorticoid signaling in the hippocampus: understanding receptor specificity and context dependency;https://hdl.handle.net/1887/3240129;10.1210/en.2018-00671;green;1945-7170;Endocrinology;The Endocrine Society;12.10.2018;TRUE;general-purpose repository;FALSE;deposited 20 september 2018. https://dx.doi.org/10.6084/ m9.figshare.7110815.;NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
25;Loes Soetens;Jacco Wallinga;Netherlands;Leiden UMC;epidemiology;29087987;candidate;na;no;2021;Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach;https://hdl.handle.net/1887/3247049;10.1097/ede.0000000000000776;green;1044-3983;Epidemiology;Ovid Technologies (Wolters Kluwer Health);01.03.2018;NA;NA;NA;NA;NA;FALSE;NA;NA;https://github.com/lsoetens/Contactviz/tree/master/data;no_open_data;NA;NA;NA;NA
29;Bharath Sampadi;SilvÃƒÂ¨re van der Maarel;Netherlands;Leiden UMC;toxicology;32467133;supervisor;last;no;2021;Dose-dependent and compound-specific phospho-signalling responses after (geno)toxic treatment;https://hdl.handle.net/1887/3240142;10.1212/wnl.0000000000009617;green;0028-3878,1526-632X;Neurology;Ovid Technologies (Wolters Kluwer Health);28.05.2020;TRUE;general-purpose repository;FALSE;full methods and ï¬Ågure e-1 and tables e1â€“e7 are available on dryad (doi.org/10.5061/dryad.kwh70rz04).;NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
16;Alexander F Lipka;Verschuuren, J.J.G.M.;Netherlands;Leiden UMC;autoimmunity;31831596;candidate;na;no;2021;Autoimmunity at the neuromuscular synapse: pathophysiology and disease course;https://hdl.handle.net/1887/3246848;10.1212/wnl.0000000000008747;hybrid;0028-3878,1526-632X;Neurology;Ovid Technologies (Wolters Kluwer Health);12.12.2019;TRUE;general-purpose repository;FALSE;"results we included 150 patients with lems of whom 85 (59%) had an associated lung cancer (ï¬‚owchart for inclusion available in ï¬Ågure e-1 from dryad doi.org/10.5061/dryad.g0t911k).;     survival in the 65 patients with lems without an associated tumor life expectancy was similar to the average life expectancy in the netherlands adjusted for sex age and year of diagnosis (logrank test p = 0.63 hazard ratio [log-rank test] 1.16 95% conï¬Ådence interval [ci] 0.59â€“2.27 ï¬Ågure 1; survival percentages are available in table e-1 from dryad doi.org/10. 5061/dryad.g0t911k).;     according to tumor stage patients with sclc-lems had a longer tumor survival both in limited (median survival 19 vs 12.1 months p = 0.0015) and extensive (median survival 13 vs 4.9 months p < 0.0001 ï¬Ågure 2 and table e-2 available from dryad doi.org/ 10.5061/dryad.g0t911k) disease.;     patients with lems scored lower on the physical hrqol than the general dutch population (pcs 55.9 [95% ci 48.9â€“62.9] vs 76.3 [95% ci 75.0â€“77.5] respectively p < 0.0001) reï¬‚ected in lower scores in 3 of 4 related domains (physical functioning role physical general health ï¬Ågure 5; scores for all domains are available in table e-3 available from dryad doi.org/10.5061/dryad.g0t911k).;     hrqol scores were comparable for the mcs (71.8 [95% ci 65.4â€“78.3] vs 77.9 [95% ci 76.8â€“79.0] p = 0.19) but lower for the vitality and social functioning domains (table e-3 available from dryad doi.org/10.5061/dryad.g0t911k).";NA;TRUE;NA;NA;NULL;no_open_data;NA;NA;NA;NA
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;29047142;supervisor;last;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1002/ijc.31114;bronze;0020-7136,1097-0215;International Journal of Cancer;Wiley;07.11.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;31912799;supervisor;last;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1016/j.annonc.2019.10.001;bronze;0923-7534;Annals of Oncology;Elsevier BV;01.01.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;32081284;supervisor;last;no;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1016/j.jacc.2019.12.024;bronze;0735-1097;Journal of the American College of Cardiology;Elsevier BV;01.02.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;32588037;supervisor;last;no;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1093/ehjci/jeaa174;bronze;2047-2404,2047-2412;European Heart Journal - Cardiovascular Imaging;Oxford University Press (OUP);26.06.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;32305478;supervisor;last;no;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1016/j.jcmg.2020.03.006;bronze;1936-878X;JACC: Cardiovascular Imaging;Elsevier BV;01.08.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;27807057;supervisor;last;no;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1093/eurheartj/ehw499;bronze;0195-668X,1522-9645;European Heart Journal;Oxford University Press (OUP);02.11.2016;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;32734280;candidate;na;no;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1093/ehjci/jeaa187;bronze;2047-2404,2047-2412;European Heart Journal - Cardiovascular Imaging;Oxford University Press (OUP);30.07.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
24;Edouard L. Fu;Friedo W. Dekker;Netherlands;Leiden UMC;cardiology;33070637;candidate;na;no;2021;Optimal cardiovascular treatment strategies in kidney disease: causal inference from observational data;https://hdl.handle.net/1887/3221348;10.1161/circheartfailure.120.007180;bronze;1941-3289,1941-3297;Circulation: Heart Failure;Ovid Technologies (Wolters Kluwer Health);01.11.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
30;Renate M Hoogeveen;E.S.G. Kroes;Netherlands;Amsterdam UMC;vascular_biology;32877578;supervisor;last;no;2021;From targeting major cardiovascular players to precision medicine;https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be;10.1056/nejmoa1915035;bronze;0028-4793,1533-4406;New England Journal of Medicine;Massachusetts Medical Society;24.09.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
2;Christina Georgikou;Ingrid Herr;Germany;Universitat Heidelberg;cancer;29627496;supervisor;last;no;2020;Inhibition of pancreatic cancer progression by sulforaphane- mediated downregulation of miR30a-3p and sulforaphane derivatives;http://archiv.ub.uni-heidelberg.de/volltextserver/29102/7/Christina_Georgikou_Dissertation.pdf;10.1016/j.canlet.2018.04.001;closed;0304-3835;Cancer Letters;Elsevier BV;01.07.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
2;Christina Georgikou;Ingrid Herr;Germany;Universitat Heidelberg;cancer;27940128;supervisor;last;no;2020;Inhibition of pancreatic cancer progression by sulforaphane- mediated downregulation of miR30a-3p and sulforaphane derivatives;http://archiv.ub.uni-heidelberg.de/volltextserver/29102/7/Christina_Georgikou_Dissertation.pdf;10.1016/j.canlet.2016.11.035;closed;0304-3835;Cancer Letters;Elsevier BV;01.03.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
3;Uzair Ali Khan;Hermann Brenner;Germany;Universitat Heidelberg;cancer;31376284;supervisor;last;no;2020;Colorectal cancer risk prediction and risk-adapted colorectal cancer screening in patients with diabetes mellitus;http://archiv.ub.uni-heidelberg.de/volltextserver/30612/1/AliKhan_Uzair_24_07_1994_Dissertation.pdf;10.1002/ijc.32610;closed;0020-7136,1097-0215;International Journal of Cancer;Wiley;15.05.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";31428929;supervisor;last;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.1007/s00467-019-04331-6;closed;0931-041X,1432-198X;Pediatric Nephrology;Springer Science and Business Media LLC;19.08.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";29907460;supervisor;first;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.1016/j.kint.2018.02.029;closed;0085-2538;Kidney International;Elsevier BV;01.08.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
5;Frank Gabel;Stefan Listl;Germany;Universitat Heidelberg;dentistry;30203091;supervisor;last;no;2020;Empirical methods for causal inference;http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf;10.1093/aje/kwy205;closed;0002-9262,1476-6256;American Journal of Epidemiology;Oxford University Press (OUP);07.09.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
5;Frank Gabel;Stefan Listl;Germany;Universitat Heidelberg;dentistry;29535207;candidate;na;no;2020;Empirical methods for causal inference;http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf;10.1136/jech-2017-210210;closed;0143-005X,1470-2738;Journal of Epidemiology and Community Health;BMJ;13.03.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
5;Frank Gabel;Stefan Listl;Germany;Universitat Heidelberg;dentistry;29342371;supervisor;last;no;2020;Empirical methods for causal inference;http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf;10.1177/0022034517750572;closed;0022-0345,1544-0591;Journal of Dental Research;SAGE Publications;17.01.2018;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
6;Andreas Staudt;Ulrich John;Germany;Universitat Heidelberg;public_health;29362900;supervisor;last;no;2020;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1007/s10198-017-0945-z;closed;1618-7598,1618-7601;The European Journal of Health Economics;Springer Science and Business Media LLC;23.01.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
6;Andreas Staudt;Ulrich John;Germany;Universitat Heidelberg;public_health;30125760;candidate;na;no;2020;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1016/j.drugalcdep.2018.06.031;closed;0376-8716;Drug and Alcohol Dependence;Elsevier BV;01.10.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
7;Michael Lacy;JÃƒÂ_rgen Bernhagen;Germany;Universitat Heidelberg;vascular_biology;28229932;supervisor;last;no;2021;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1016/j.cellsig.2017.02.013;closed;0898-6568;Cellular Signalling;Elsevier BV;01.06.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
7;Michael Lacy;JÃƒÂ_rgen Bernhagen;Germany;Universitat Heidelberg;vascular_biology;31745866;supervisor;last;no;2021;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1007/978-1-4939-9936-1_1;closed;1064-3745,1940-6029;Methods in Molecular Biology;Springer US;20.11.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
7;Michael Lacy;JÃƒÂ_rgen Bernhagen;Germany;Universitat Heidelberg;vascular_biology;30149100;candidate;na;yes;2021;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1016/j.pharmthera.2018.08.012;closed;0163-7258;Pharmacology & Therapeutics;Elsevier BV;01.01.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;32810748;supervisor;last;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1016/j.ejca.2020.07.003;closed;0959-8049;European Journal of Cancer;Elsevier BV;01.09.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;32943459;supervisor;last;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1158/1078-0432.ccr-20-2748;closed;1078-0432,1557-3265;Clinical Cancer Research;American Association for Cancer Research (AACR);17.09.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
8;Nicole Tonya Erickson;Volker Heinemann;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;cancer;30684046;candidate;na;no;2021;Establishing patient-centered nutrition screening for German speaking oncology patients;https://edoc.ub.uni-muenchen.de/29055/7/Erickson_Nicole_Tonya.pdf;10.1007/s00520-019-4637-3;closed;0941-4355,1433-7339;Supportive Care in Cancer;Springer Science and Business Media LLC;25.01.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;29095508;supervisor;last;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1002/lsm.22738;closed;0196-8092;Lasers in Surgery and Medicine;Wiley;02.11.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;29845754;supervisor;last;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1002/jbio.201700373;closed;1864-063X;Journal of Biophotonics;Wiley;28.06.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;30033650;supervisor;last;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1002/jhrm.21326;closed;1074-4797;Journal of Healthcare Risk Management;Wiley;23.07.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;33616996;supervisor;last;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1002/lsm.23365;closed;0196-8092,1096-9101;Lasers in Surgery and Medicine;Wiley;08.12.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;31140754;candidate;na;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1002/jbio.201800468;closed;1864-063X,1864-0648;Journal of Biophotonics;Wiley;04.07.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;31945545;candidate;na;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1016/j.pdpdt.2020.101657;closed;1572-1000;Photodiagnosis and Photodynamic Therapy;Elsevier BV;01.06.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
10;Anna Suraya;Dennis Nowak;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;29492652;supervisor;last;no;2021;Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia;https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf;10.1007/s00415-018-8802-2;closed;0340-5354,1432-1459;Journal of Neurology;Springer Science and Business Media LLC;28.02.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
10;Anna Suraya;Dennis Nowak;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;31046862;supervisor;last;no;2021;Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia;https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf;10.1017/s1092852918001748;closed;1092-8529,2165-6509;CNS Spectrums;Cambridge University Press (CUP);03.05.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
10;Anna Suraya;Dennis Nowak;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;31562560;supervisor;last;no;2021;Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia;https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf;10.1007/s00415-019-09543-2;closed;0340-5354,1432-1459;Journal of Neurology;Springer Science and Business Media LLC;27.09.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;27914956;supervisor;last;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1016/j.compmedimag.2016.11.005;closed;0895-6111;Computerized Medical Imaging and Graphics;Elsevier BV;01.09.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;27379986;supervisor;last;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1007/s11307-016-0975-4;closed;1536-1632,1860-2002;Molecular Imaging and Biology;Springer Science and Business Media LLC;05.07.2016;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
