referenceid	timestamp_started	timestamp_finished	pair	phd_candidate	supervisor	country	institute	subfield	pmid	owner	position_author_supervisor	concern_methods_tools_devlpmnt_or_review	thesis_year	thesis_title	thesis_link	doi	oa_status	issn	journal	publisher	publication_date_unpaywall	is_open_data	open_data_category	is_open_code	open_data_statements	open_code_statements	downloaded	open_methods_yn	unsure_explanation	type_of_open_methods_trial_registration_number	type_of_open_methods_preregistration	type_of_open_methods_protocol	type_of_open_methods_open_notebook	type_of_open_methods_open_code	type_of_open_methods_Other	link_open_methods	public_link_open_methods	additional_remarks
151	2022-02-21 07:47:14	2022-02-21 07:47:40	14	Anna Rubinski	Michael Ewers	Germany	Ludwig-Maximilians-Universit	neuroscience	29510747	supervisor	last	no	2021	Effects of Amyloid and Tau Pathology on Brain Function and Cognition in Alzheimer's Disease	https://edoc.ub.uni-muenchen.de/28793/1/Rubinski_Anna.pdf	10.1186/s13195-018-0358-y	gold	1758-9193	Alzheimer's Research & Therapy	Springer Science and Business Media LLC	06.03.2018	FALSE		FALSE			TRUE	No	paper provides one and a half additional pages of &quot;supplementary methods&quot; which does not count IMO	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
158	2022-02-21 07:47:43	2022-02-21 07:47:47	15	Elisabeth Olliges	Karin Mei	Germany	Ludwig-Maximilians-Universit	medical_psychology	30618877	supervisor	last	no	2021	Suggestibility as well as Psychosocial and Physical Long-term Consequences in Patients with a History of Stress-induced Cardiomyopathy	https://edoc.ub.uni-muenchen.de/28381/2/Olliges_Elisabeth.pdf	10.3389/fpsyt.2018.00706	gold	1664-0640	Frontiers in Psychiatry	Frontiers Media SA	18.12.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
160	2022-02-21 07:47:50	2022-02-21 07:48:33	15	Elisabeth Olliges	Karin Mei	Germany	Ludwig-Maximilians-Universit	medical_psychology	31428002	candidate	na	no	2021	Suggestibility as well as Psychosocial and Physical Long-term Consequences in Patients with a History of Stress-induced Cardiomyopathy	https://edoc.ub.uni-muenchen.de/28381/2/Olliges_Elisabeth.pdf	10.3389/fpsyt.2019.00549	gold	1664-0640	Frontiers in Psychiatry	Frontiers Media SA	02.08.2019	FALSE		FALSE			TRUE	Yes	NULL	1	0	0	0	NULL	NULL	https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00009296	Yes	NULL
167	2022-02-21 07:48:36	2022-02-21 07:48:43	16	Alexander F Lipka	Verschuuren, J.J.G.M.	Netherlands	Leiden UMC	autoimmunity	30660402	supervisor	last	no	2021	Autoimmunity at the neuromuscular synapse: pathophysiology and disease course	https://hdl.handle.net/1887/3246848	10.1016/j.vaccine.2019.01.007	green	0264-410X	Vaccine	Elsevier BV	01.02.2019	FALSE		FALSE			TRUE	Yes	NULL	1	NULL	NULL	NULL	NULL	NULL	https://www.clinicaltrialsregister.eu/ctr-search/trial/2016-003138-26/NL	Yes	NULL
169	2022-02-21 07:48:47	2022-02-21 07:48:50	16	Alexander F Lipka	Verschuuren, J.J.G.M.	Netherlands	Leiden UMC	autoimmunity	32291768	candidate	na	no	2021	Autoimmunity at the neuromuscular synapse: pathophysiology and disease course	https://hdl.handle.net/1887/3246848	10.1002/mus.26885	hybrid	0148-639X,1097-4598	Muscle & Nerve	Wiley	22.04.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
174	2022-02-21 07:48:53	2022-02-21 07:48:55	17	Annelieke C Kruithof	Jacobus Burggraaf	Netherlands	Leiden UMC	drug_development	31443329	supervisor	last	no	2021	Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology	https://hdl.handle.net/1887/3247173	10.3390/antibiotics8030119	gold	2079-6382	Antibiotics	MDPI AG	15.08.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
179	2022-02-21 07:48:58	2022-02-21 07:49:05	18	Iris Kramer	Marjanka Schmidt	Netherlands	Leiden UMC	cancer	29486734	supervisor	last	no	2021	Double trouble: exploring risk factors to better predict contralateral breast cancer	https://hdl.handle.net/1887/3247221	10.1186/s12885-018-4072-8	gold	1471-2407	BMC Cancer	Springer Science and Business Media LLC	27.02.2018	TRUE	data availability statement	FALSE	availability of data and materials the datasets supporting the conclusions of this article cannot be shared due to restrictions as described in danish law (persondataloven: https:// www.retsinformation.dk/forms/r0710		TRUE	No	links to other publication, 'as described previously', but not a protocol	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
180	2022-02-21 07:49:08	2022-02-21 07:49:43	18	Iris Kramer	Marjanka Schmidt	Netherlands	Leiden UMC	cancer	29461872	supervisor	last	no	2021	Double trouble: exploring risk factors to better predict contralateral breast cancer	https://hdl.handle.net/1887/3247221	10.1089/gtmb.2017.0222	closed	1945-0265,1945-0257	Genetic Testing and Molecular Biomarkers	Mary Ann Liebert Inc	01.03.2018	FALSE		FALSE			TRUE	Yes	NULL	1	NULL	NULL	NULL	NULL	NULL	https://www.trialregister.nl/trial/2840	Yes	They also write about Supplementary Methods but not accessible for me
182	2022-02-21 07:49:46	2022-02-21 07:49:48	18	Iris Kramer	Marjanka Schmidt	Netherlands	Leiden UMC	cancer	33022221	candidate	na	no	2021	Double trouble: exploring risk factors to better predict contralateral breast cancer	https://hdl.handle.net/1887/3247221	10.1016/j.ajhg.2020.09.001	green	0002-9297	The American Journal of Human Genetics	Elsevier BV	01.11.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
194	2022-02-21 07:49:51	2022-02-21 07:49:53	20	Christoph Gst?ttner	Manfred Wuhrer	Netherlands	Leiden UMC	medical_chemistry	34739220	candidate	na	no	2021	Boosting mass spectrometry-based analytics for biopharma	https://hdl.handle.net/1887/3245884	10.1021/acs.analchem.1c03560	hybrid	0003-2700,1520-6882	Analytical Chemistry	American Chemical Society (ACS)	05.11.2021	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
197	2022-02-21 07:49:57	2022-02-21 07:50:09	21	Rachid Abou	Jeroen J Bax	Netherlands	Leiden UMC	cardiology	32828778	supervisor	last	no	2021	The role of advanced echocardiography in patients with ischemic heart disease	https://hdl.handle.net/1887/3243601	10.1016/j.jcmg.2020.06.032	closed	1936-878X	JACC: Cardiovascular Imaging	Elsevier BV	01.04.2021	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
202	2022-02-21 07:50:12	2022-02-21 07:50:24	21	Rachid Abou	Jeroen J Bax	Netherlands	Leiden UMC	cardiology	32404401	candidate	na	yes	2021	The role of advanced echocardiography in patients with ischemic heart disease	https://hdl.handle.net/1887/3243601	10.1136/heartjnl-2019-316215	closed	1355-6037,1468-201X	Heart	BMJ	13.05.2020	FALSE		FALSE			TRUE	No	This is a review, no original research.	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
203	2022-02-21 07:50:27	2022-02-21 07:55:50	21	Rachid Abou	Jeroen J Bax	Netherlands	Leiden UMC	cardiology	34162486	candidate	na	no	2021	The role of advanced echocardiography in patients with ischemic heart disease	https://hdl.handle.net/1887/3243601	10.1016/j.amjcard.2021.04.033	hybrid	0002-9149	The American Journal of Cardiology	Elsevier BV	01.08.2021	FALSE		FALSE			TRUE	Unsure	I am confused, it links to this: https://reader.elsevier.com/reader/sd/pii/S0002870306008982?token=4132E78565B73E3CEF59CD1670609D823F0091368526D3D0468C913EA52183BB161124B333E7A83247CBEDA44195AA26&originRegion=eu-west-1&originCreation=20220214161524 , is this a really weird protocol?	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
210	2022-02-21 07:55:54	2022-02-21 07:55:57	22	Lisa TCM van Weert	Onno C. Meijer	Netherlands	Leiden UMC	neuroscience	34867228	supervisor	last	no	2021	Genomic glucocorticoid signaling in the hippocampus: understanding receptor specificity and context dependency	https://hdl.handle.net/1887/3240129	10.3389/fnbeh.2021.756903	gold	1662-5153	Frontiers in Behavioral Neuroscience	Frontiers Media SA	17.11.2021	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
217	2022-02-21 07:55:59	2022-02-21 07:56:15	23	Maria Ti	Annemieke Geluk	Netherlands	Leiden UMC	bacteriology	28827673	supervisor	last	no	2021	Exploring host and pathogen biomarkers for leprosy	https://hdl.handle.net/1887/3229676	10.1038/s41598-017-07803-7	gold	2045-2322	Scientific Reports	Springer Science and Business Media LLC	21.08.2017	FALSE		FALSE			TRUE	Yes	NULL	NULL	NULL	1	NULL	NULL	NULL	https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-13-456	Yes	They describe 3 cohorts and one links to a publicly published protocol, do we make the same consideration as Evgeny (part open methods = open methods)?
218	2022-02-21 07:56:19	2022-02-21 07:57:33	23	Maria Ti	Annemieke Geluk	Netherlands	Leiden UMC	bacteriology	31422044	supervisor	last	no	2021	Exploring host and pathogen biomarkers for leprosy	https://hdl.handle.net/1887/3229676	10.1016/j.ebiom.2019.08.009	gold	2352-3964	EBioMedicine	Elsevier BV	01.09.2019	FALSE		FALSE			TRUE	Yes	NULL	0	0	1	0	NULL	NULL	https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-13-456	Yes	NULL
219	2022-02-21 07:57:37	2022-02-21 07:57:52	23	Maria Ti	Annemieke Geluk	Netherlands	Leiden UMC	bacteriology	32612587	candidate	na	no	2021	Exploring host and pathogen biomarkers for leprosy	https://hdl.handle.net/1887/3229676	10.3389/fmicb.2020.01220	gold	1664-302X	Frontiers in Microbiology	Frontiers Media SA	16.06.2020	TRUE	field-specific repository, supplement	FALSE	sequence data are available from the ncbi sequence read archive (sra) under the bioprojects prjna605605 (https://www.ncbi.nlm.nih.gov/bioproject/prjna605605) and prjna592722 (https://www.ncbi.nlm.nih.gov/bioproject/ prjna592722) biosamples samn14072760-775 and samn13438761-771.   materials and methods study design and sample collection newly diagnosed leprosy patients (index case n = 31) with bacteriological index (bi) 		TRUE	No	There seems to be a lot of info in the supplements, but no true protocol/registration where detailed methodological information is collated. Thoughts on how to treat this?	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
220	2022-02-21 07:57:55	2022-02-21 08:02:31	23	Maria Ti	Annemieke Geluk	Netherlands	Leiden UMC	bacteriology	30816338	candidate	na	no	2021	Exploring host and pathogen biomarkers for leprosy	https://hdl.handle.net/1887/3229676	10.1038/s41598-019-39746-6	gold	2045-2322	Scientific Reports	Springer Science and Business Media LLC	28.02.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
236	2022-02-21 07:58:00	2022-02-21 08:00:53	25	Loes Soetens	Jacco Wallinga	Netherlands	Leiden UMC	epidemiology	31931789	supervisor	last	no	2021	Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach	https://hdl.handle.net/1887/3247049	10.1186/s12916-019-1471-x	gold	1741-7015	BMC Medicine	Springer Science and Business Media LLC	14.01.2020	FALSE		FALSE			TRUE	Unsure	Supplementary file 1 seems to contain the relevant additional specifications, but not sure if this is 'open' and whether they're complete.	0	0	0	0	NULL	NULL	NULL		NULL
239	2022-02-21 08:00:57	2022-02-21 08:01:02	26	Yang Ge	Marco C. DeRuiter	Netherlands	Leiden UMC	cardiology	32801116	supervisor	last	no	2021	Modeling of the cardiac sympathetic nervous system and the contribution of epicardium-derived cells	https://hdl.handle.net/1887/3247258	10.1242/dmm.044990	gold	1754-8411,1754-8403	Disease Models & Mechanisms	The Company of Biologists	01.01.2020	TRUE	general-purpose repository, data availability statement	TRUE	data availability rna sequencing datasets reported in this paper have been deposited in the zenodo repository: doi:10.5281/zenodo.4012513.     data availability rna sequencing datasets reported in this paper have been deposited in the zenodo	the r code and documentation of raceid3 is available for download at https://github.com/dgrun/raceid3_ stemid2_package (herman et al. 2018).	TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
240	2022-02-21 08:01:04	2022-02-21 08:01:07	26	Yang Ge	Marco C. DeRuiter	Netherlands	Leiden UMC	cardiology	32413023	supervisor	last	no	2021	Modeling of the cardiac sympathetic nervous system and the contribution of epicardium-derived cells	https://hdl.handle.net/1887/3247258	10.1371/journal.pone.0228478	gold	1932-6203	PLOS ONE	Public Library of Science (PLoS)	15.05.2020	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
246	2022-02-21 08:01:09	2022-02-21 08:01:11	27	Frank de Vos	S.A.R.B. Rombouts	Netherlands	Leiden UMC	neuroscience	31881858	supervisor	last	no	2021	Multimodal MRI-based classification of Alzheimer	https://hdl.handle.net/1887/3245855	10.1186/s12883-019-1567-0	gold	1471-2377	BMC Neurology	Springer Science and Business Media LLC	01.12.2019	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
247	2022-02-21 08:01:14	2022-02-21 08:01:29	27	Frank de Vos	S.A.R.B. Rombouts	Netherlands	Leiden UMC	neuroscience	29155080	candidate	na	no	2021	Multimodal MRI-based classification of Alzheimer	https://hdl.handle.net/1887/3245855	10.1016/j.neuroimage.2017.11.025	green	1053-8119	NeuroImage	Elsevier BV	01.02.2018	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
252	2022-02-21 08:01:33	2022-02-21 08:01:36	28	Esm? van der Gracht	Frits Koning	Netherlands	Leiden UMC	molecular_biology	28771001	supervisor	last	no	2021	Dissecting the heterogeneity of circulating and tissue-resident memory T cells	https://hdl.handle.net/1887/3245200	10.1021/acs.jafc.7b02557	hybrid	0021-8561,1520-5118	Journal of Agricultural and Food Chemistry	American Chemical Society (ACS)	17.08.2017	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
266	2022-02-21 08:01:48	2022-02-21 08:01:52	30	Renate M Hoogeveen	E.S.G. Kroes	Netherlands	Amsterdam UMC	vascular_biology	34995986	supervisor	last	no	2021	From targeting major cardiovascular players to precision medicine	https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be	10.1016/j.atherosclerosis.2021.12.008	hybrid	0021-9150	Atherosclerosis	Elsevier BV	01.12.2021	FALSE		FALSE			TRUE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
270	2022-02-21 08:01:55	2022-02-21 08:02:11	30	Renate M Hoogeveen	E.S.G. Kroes	Netherlands	Amsterdam UMC	vascular_biology	29728748	supervisor	last	no	2021	From targeting major cardiovascular players to precision medicine	https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be	10.1007/s00259-018-4038-8	hybrid	1619-7070,1619-7089	European Journal of Nuclear Medicine and Molecular Imaging	Springer Science and Business Media LLC	04.05.2018	FALSE		FALSE			TRUE	No	has 'supplementary methods', but very few	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
1	2022-03-15 05:14:51	2022-03-15 05:17:09	1	Sabrina T Wiebe	Gerd Mikus	Germany	Universitat Heidelberg	drug_development	31023150	supervisor	last	no	2020	Midazolam Microdosing and Population Pharmacokinetic Modelling to Assess CYP3A Drug-Drug Interactions in Early Clinical Development	http://archiv.ub.uni-heidelberg.de/volltextserver/29312/1/WIEBE_Doktorarbeit_Final.pdf	10.1177/0269216319843629	closed	0269-2163,1477-030X	Palliative Medicine	SAGE Publications	26.04.2019	NA	NA	NA	NA	NA	FALSE	Yes	NULL	1	0	1	0	0	0	https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00011753 AND https://www.liebertpub.com/doi/full/10.1089/jpm.2017.0461	Yes	Trial registration seems rather coarse?  (the protocol is closed access)
2	2022-03-15 05:17:13	2022-03-15 05:17:17	3	Uzair Ali Khan	Hermann Brenner	Germany	Universitat Heidelberg	cancer	30236215	supervisor	last	no	2020	Colorectal cancer risk prediction and risk-adapted colorectal cancer screening in patients with diabetes mellitus	http://archiv.ub.uni-heidelberg.de/volltextserver/30612/1/AliKhan_Uzair_24_07_1994_Dissertation.pdf	10.3238/arztebl.2018.0571	green	1866-0452	Deutsches Aerzteblatt Online	Deutscher Arzte-Verlag GmbH	03.09.2018	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
4	2022-03-15 05:17:20	2022-03-15 05:17:22	3	Uzair Ali Khan	Hermann Brenner	Germany	Universitat Heidelberg	cancer	32618661	candidate	na	no	2020	Colorectal cancer risk prediction and risk-adapted colorectal cancer screening in patients with diabetes mellitus	http://archiv.ub.uni-heidelberg.de/volltextserver/30612/1/AliKhan_Uzair_24_07_1994_Dissertation.pdf	10.14309/ajg.0000000000000669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
5	2022-03-15 05:17:25	2022-03-15 05:17:29	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	31533017	supervisor	last	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1177/2380084419875442	hybrid	2380-0844,2380-0852	JDR Clinical & Translational Research	SAGE Publications	18.09.2019	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
6	2022-03-15 05:17:33	2022-03-15 05:17:36	5	Frank Gabel	Stefan Listl	Germany	Universitat Heidelberg	dentistry	30884363	supervisor	last	no	2020	Empirical methods for causal inference	http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf	10.1016/j.puhe.2019.02.010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
8	2022-03-15 05:17:40	2022-03-15 05:17:43	7	Michael Lacy	J	Germany	Universitat Heidelberg	vascular_biology	29543531	supervisor	last	no	2021	Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption	https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf	10.1096/fj.201800058r	green	0892-6638,1530-6860	The FASEB Journal	Wiley	15.03.2018	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
9	2022-03-15 05:17:46	2022-03-15 05:17:49	7	Michael Lacy	J	Germany	Universitat Heidelberg	vascular_biology	31811089	supervisor	last	no	2021	Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption	https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf	10.1074/jbc.ra119.009716	green	0021-9258,1083-351X	Journal of Biological Chemistry	Elsevier BV	06.12.2019	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
11	2022-03-15 05:17:53	2022-03-15 05:17:55	10	Anna Suraya	Dennis Nowak	Germany	Ludwig-Maximilians-Universit	public_health	30977897	supervisor	last	no	2021	Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia	https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf	10.1111/ane.13102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
12	2022-03-15 05:17:59	2022-03-15 05:18:58	11	Maximilian Grosch	Sibylle Ziegler	Germany	Ludwig-Maximilians-Universit	neurology	28055983	supervisor	last	no	2021	Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.	https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf	10.1088/1361-6579/aa5071	closed	0967-3334,1361-6579	Physiological Measurement	IOP Publishing	05.01.2017	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
14	2022-03-15 05:19:03	2022-03-15 05:19:07	11	Maximilian Grosch	Sibylle Ziegler	Germany	Ludwig-Maximilians-Universit	neurology	30527092	supervisor	last	no	2021	Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.	https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf	10.1016/j.ejmp.2018.11.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
16	2022-03-15 05:19:11	2022-03-15 05:19:16	12	Olena Ivanova	Michael H?lscher	Germany	Ludwig-Maximilians-Universit	public_health	30890170	candidate	na	no	2021	Formative research - an essential step in developing and adapting health interventions and policies in low- and lower-middle income countries	https://edoc.ub.uni-muenchen.de/28806/7/Ivanova_Olena.pdf	10.1186/s12978-019-0698-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
17	2022-03-15 05:19:21	2022-03-15 05:19:25	15	Elisabeth Olliges	Karin Mei	Germany	Ludwig-Maximilians-Universit	medical_psychology	32000523	candidate	na	no	2021	Suggestibility as well as Psychosocial and Physical Long-term Consequences in Patients with a History of Stress-induced Cardiomyopathy	https://edoc.ub.uni-muenchen.de/28381/2/Olliges_Elisabeth.pdf	10.1080/13548506.2020.1722315	green	1354-8506,1465-3966	Psychology, Health & Medicine	Informa UK Limited	30.01.2020	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
18	2022-03-15 05:19:30	2022-03-15 05:19:42	17	Annelieke C Kruithof	Jacobus Burggraaf	Netherlands	Leiden UMC	drug_development	31306369	supervisor	last	no	2021	Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology	https://hdl.handle.net/1887/3247173	10.1097/fjc.0000000000000695	closed	0160-2446	Journal of Cardiovascular Pharmacology	Ovid Technologies (Wolters Kluwer Health)	01.08.2019	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
20	2022-03-15 05:19:46	2022-03-15 05:19:53	17	Annelieke C Kruithof	Jacobus Burggraaf	Netherlands	Leiden UMC	drug_development	32383642	candidate	na	no	2021	Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology	https://hdl.handle.net/1887/3247173	10.5414/cp203733	closed	0946-1965	Int. Journal of Clinical Pharmacology and Therapeutics	Dustri-Verlgag Dr. Karl Feistle	01.07.2020	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
22	2022-03-15 05:19:57	2022-03-15 05:20:01	19	Koen T van Hamersveld	Rob G H H Nelissen	Netherlands	Leiden UMC	orthopedics	30581559	supervisor	last	no	2021	Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool	https://hdl.handle.net/1887/3245131	10.1302/2046-3758.711.bjr-2018-0080.r1	gold	2046-3758	Bone & Joint Research	British Editorial Society of Bone & Joint Surgery	01.11.2018	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
24	2022-03-15 05:20:06	2022-03-15 05:20:10	19	Koen T van Hamersveld	Rob G H H Nelissen	Netherlands	Leiden UMC	orthopedics	32431810	supervisor	last	no	2021	Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool	https://hdl.handle.net/1887/3245131	10.1302/2046-3758.94.bjr-2019-0274.r1	gold	2046-3758	Bone & Joint Research	British Editorial Society of Bone & Joint Surgery	01.04.2020	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
27	2022-03-15 05:20:17	2022-03-15 05:20:31	19	Koen T van Hamersveld	Rob G H H Nelissen	Netherlands	Leiden UMC	orthopedics	29448880	candidate	na	no	2021	Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool	https://hdl.handle.net/1887/3245131	10.1080/17453674.2018.1429108	gold	1745-3674,1745-3682	Acta Orthopaedica	Informa UK Limited	16.02.2018	NA	NA	NA	NA	NA	FALSE	Yes	NULL	1	NULL	NULL	NULL	NULL	NULL	https://clinicaltrials.gov/ct2/show/NCT02924961?term=NCT02924961&draw=2&rank=1	Yes	NULL
28	2022-03-15 05:20:40	2022-03-15 05:20:42	19	Koen T van Hamersveld	Rob G H H Nelissen	Netherlands	Leiden UMC	orthopedics	31017513	candidate	na	no	2021	Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool	https://hdl.handle.net/1887/3245131	10.1080/17453674.2019.1605692	gold	1745-3674,1745-3682	Acta Orthopaedica	Informa UK Limited	24.04.2019	NA	NA	NA	NA	NA	FALSE	Yes	NULL	1	NULL	NULL	NULL	NULL	NULL	https://www.isrctn.com/ISRCTN04081530?q=ISRCTN04081530&filters=&sort=&offset=1&totalResults=1&page=1&pageSize=10&searchType=basic-search	Yes	NULL
29	2022-03-15 05:20:46	2022-03-15 05:22:35	20	Christoph Gst?ttner	Manfred Wuhrer	Netherlands	Leiden UMC	medical_chemistry	31349756	supervisor	last	no	2021	Boosting mass spectrometry-based analytics for biopharma	https://hdl.handle.net/1887/3245884	10.1080/19420862.2019.1630218	gold	1942-0862,1942-0870	mAbs	Informa UK Limited	26.07.2019	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
30	2022-03-15 05:22:40	2022-03-15 05:22:44	20	Christoph Gst?ttner	Manfred Wuhrer	Netherlands	Leiden UMC	medical_chemistry	31630606	candidate	na	yes	2021	Boosting mass spectrometry-based analytics for biopharma	https://hdl.handle.net/1887/3245884	10.1080/19420862.2019.1682403	gold	1942-0862,1942-0870	mAbs	Informa UK Limited	18.12.2019	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
31	2022-03-15 05:22:47	2022-03-15 05:22:50	22	Lisa TCM van Weert	Onno C. Meijer	Netherlands	Leiden UMC	neuroscience	32369774	supervisor	last	no	2021	Genomic glucocorticoid signaling in the hippocampus: understanding receptor specificity and context dependency	https://hdl.handle.net/1887/3240129	10.1530/joe-19-0486	hybrid	0022-0795,1479-6805	Journal of Endocrinology	Bioscientifica	01.07.2020	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
32	2022-03-15 05:22:54	2022-03-15 05:22:57	23	Maria Ti	Annemieke Geluk	Netherlands	Leiden UMC	bacteriology	30695682	supervisor	last	no	2021	Exploring host and pathogen biomarkers for leprosy	https://hdl.handle.net/1887/3229676	10.1016/j.clinbiochem.2019.01.007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
34	2022-03-15 05:23:01	2022-03-15 05:23:09	25	Loes Soetens	Jacco Wallinga	Netherlands	Leiden UMC	epidemiology	32046819	supervisor	last	no	2021	Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach	https://hdl.handle.net/1887/3247049	10.2807/1560-7917.es.2020.25.5.2000062	gold	1560-7917	Eurosurveillance	European Centre for Disease Control and Prevention (ECDC)	06.02.2020	NA	NA	NA	NA	NA	FALSE	No	It's a very short communication, but still reports 'original research' 	NULL	NULL	NULL	NULL	NULL	NULL	NULL		NULL
